"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1224","","","","0"
"2014","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1134","","","","0"
"2015","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1231","","","","0"
"2016","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1144","","","","0"
"2017","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1241","","","","0"
"2018","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1237","","","","0"
"2019","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v70029206","1.4.13","1122","","","","0"
"2009","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","80879","","","","0"
"2010","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","70200","","","","0"
"2011","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","61354","","","","0"
"2012","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","62040","","","","0"
"2013","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","54469","","","","0"
"2014","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","55363","","","","0"
"2015","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","61765","","","","0"
"2016","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","67210","","","","0"
"2017","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","69986","","","","0"
"2018","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","75651","","","","0"
"2019","Manitoba [46]","2016A000246","Total property crime violations [200]","Actual incidents","Number","223","units","0","v70030020","1.64.1","84881","","","","0"
"2011","Manitoba [46]","2016A000246","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000836238","1.64.15","","..","","","0"
"2012","Manitoba [46]","2016A000246","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000836238","1.64.15","","..","","","0"
"2013","Manitoba [46]","2016A000246","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000836238","1.64.15","","..","","","0"
"2014","Manitoba [46]","2016A000246","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000836238","1.64.15","","..","","","0"
"2015","Manitoba [46]","2016A000246","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000836238","1.64.15","","..","","","0"
