"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","3753","","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","3422","","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","3581","","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","3599","","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","3353","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","2800","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v68756478","1.225.11","2389","","","","0"
"2009","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","2655","","","","0"
"2010","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","2379","","","","0"
"2011","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","2276","","","","0"
"2012","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","2254","","","","0"
"2013","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1823","","","","0"
"2014","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1883","","","","0"
"2015","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1831","","","","0"
"2016","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1719","","","","0"
"2017","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1709","","","","0"
"2018","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1408","","","","0"
"2019","Ontario [35]","2016A000235","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v68756480","1.225.13","1361","","","","0"
"2009","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","34184","","","","0"
"2010","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","32821","","","","0"
"2011","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","33014","","","","0"
"2012","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","32227","","","","0"
"2013","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","31394","","","","0"
"2014","Ontario [35]","2016A000235","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v68755418","1.148.1","28909","","","","0"
